,Product Name,Reviews,Key Ingredients,Category,Tokens,Product_Sentiments
43,Tea Tree Facewash for acne & pimples,For baby skin that constantly flaked and dry this is a lifesaver. Love it.,['Neem ' 'Aloe Vera ' 'Tea Tree Oil '],['Face Wash'],['tea' 'tree' 'facewash' 'acne' 'pimple'],"{'tea': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'tree': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'facewash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'acne': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'pimple': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Neem ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Aloe Vera ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Face Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Facewash for acne & pimples': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 0}}"
44,Anti Hair Fall Kit for complete hair care,With changing weather I tend to get itchy and dry scalp with leads to dandruff. Mamaearth happy heads shampoo is great for controlling it.,['Bhringraj Oil ' 'Biotin ' 'All hair type  The kit is suitable for all hair type'],['Hair Kit'],['anti' 'hair' 'fall' 'kit' 'complete' 'hair' 'care'],"{'anti': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fall': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'kit': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'complete': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'care': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Bhringraj Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Biotin ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'All hair type  The kit is suitable for all hair type': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Kit': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Anti Hair Fall Kit for complete hair care': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 1, 'Neutral': 0}}"
45,Argan Hair Mask with Argan Avocado Oil and Milk Protein for Frizzfree & Stronger Hair â€“,It is the best charcoal face mask i have ever used. The best product by far for acne and dry skin. It really helped my skinnto glow naturally,['Argan Oil '],['Hair Oil'],['argan' 'hair' 'mask' 'argan' 'avocado' 'oil' 'milk' 'protein' 'frizz' 'free' 'strong' 'hair'],"{'argan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'mask': {'Positive': 1, 'Negative': 0, 'Neutral': 0}, 'avocado': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'milk': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'protein': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'frizz': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'free': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'strong': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Argan Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Argan Hair Mask with Argan Avocado Oil and Milk Protein for Frizzfree & Stronger Hair â€“': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 1}}"
46,Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening ,Very good product with good customer service,['Turmeric'],['NA'],['ubtan' 'bamboo' 'sheet' 'mask' 'turmeric' 'saffron' 'skin' 'brightening'],"{'ubtan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'bamboo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'sheet': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'mask': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'turmeric': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'saffron': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'brightening': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Turmeric': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
47,Niacinamide Bamboo Sheet Mask with Niacinamide & Ginger Extract for Clear & Glowing Skin ,Firstly I would like to say that I like all the Coco products ...I do my waxing also chocolate waxing..I often get dead skin on my face and black heads...I try using this Coco scrub and it is amazing it cleans my face very well ...it is not Harsh on my face skin cleans v well and gives good effect,['Niacinamide'],['NA'],['niacinamide' 'bamboo' 'sheet' 'mask' 'niacinamide' 'ginger' 'extract' 'clear' 'glowing' 'skin'],"{'niacinamide': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'bamboo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'sheet': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'mask': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'ginger': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'extract': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'clear': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'glowing': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 1, 'Negative': 0, 'Neutral': 0}, 'Niacinamide': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Niacinamide Bamboo Sheet Mask with Niacinamide & Ginger Extract for Clear & Glowing Skin ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
50,Onion Shampoo for Hair Growth & Hair Fall Control (250 ml)  Pac,Just love this. awesome product .awesome smell light quick absorb one of my favorite. will be purchase again and again..,['Onion Seed Oil'],['Hair Shampoo'],['onion' 'shampoo' 'hair' 'growth' 'hair' 'fall' 'control' '250' 'ml' 'pac'],"{'onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'growth': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fall': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'control': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, '250': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'ml': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'pac': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Seed Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Shampoo for Hair Growth & Hair Fall Control (250 ml)  Pac': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 1}}"
52,AntiAcne Kit,this product is amazing  it reduced my hair fall and now my hair are improving a lot . i recommend all of you to use this amazing product .,['Apple Cider Vinegar' 'Niacinamide'],['NA'],['anti' 'acne' 'kit'],"{'anti': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'acne': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'kit': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Apple Cider Vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Niacinamide': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'AntiAcne Kit': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 0}}"
53,Onion Scalp Serum with Onion & Niacinamide for Healthy Hair Growth ,Great product skin is supple soft and shining I would any day recommend this product to friends and family members,['Red Onion'],['NA'],['onion' 'scalp' 'serum' 'onion' 'niacinamide' 'healthy' 'hair' 'growth'],"{'onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'scalp': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'serum': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'niacinamide': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'healthy': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'growth': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Red Onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Scalp Serum with Onion & Niacinamide for Healthy Hair Growth ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
54,Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin ,It was good,['Vitamin C'],['Body Lotion'],['vitamin' 'c' 'body' 'lotion' 'vitamin' 'c' 'honey' 'radiant' 'skin'],"{'vitamin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'c': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'body': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'lotion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'honey': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'radiant': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Vitamin C': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Body Lotion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
55,Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin ,The perfect combo u could gift u. I have been using this for almost one month now and the darkness around my mouth is reduce and I can see visible difference under my eyes no more bags when I smile now,['Turmeric'],['Body Lotion'],['ubtan' 'body' 'lotion' 'turmeric' 'kokum' 'butter' 'glowing' 'skin'],"{'ubtan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'body': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'lotion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'turmeric': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'kokum': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'butter': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'glowing': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Turmeric': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Body Lotion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
56,Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination â€“,Nice product,['Vitamin C'],['Face Wash'],['vitamin' 'c' 'foaming' 'face' 'wash' 'vitamin' 'c' 'turmeric' 'skin' 'illumination'],"{'vitamin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'c': {'Positive': 2, 'Negative': 0, 'Neutral': 0}, 'foaming': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'turmeric': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'illumination': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Vitamin C': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Face Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination â€“': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
61,Onion Hair Mask For Hair Fall Control With Onion Oil and Organic Bamboo Vinegar,The skin plump serum for glowing skin is a boon for my skin. Makes my skin feel smooth and over time I have started noticing that my skinâ€™s texture has become so good.,[],['Hair Oil'],['onion' 'hair' 'mask' 'hair' 'fall' 'control' 'onion' 'oil' 'organic' 'bamboo' 'vinegar'],"{'onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'mask': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fall': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'control': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'organic': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'bamboo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Hair Mask For Hair Fall Control With Onion Oil and Organic Bamboo Vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 1}}"
63,Argan Conditioner with Argan & Apple Cider Vinegar for FrizzFree and Stronger Hair ,It really worked after first use only. Thanks!! mamaearth,['Argan Oil '],['NA'],['argan' 'conditioner' 'argan' 'apple' 'cider' 'vinegar' 'frizz' 'free' 'strong' 'hair'],"{'argan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'conditioner': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'apple': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'cider': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'frizz': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'free': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'strong': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Argan Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Argan Conditioner with Argan & Apple Cider Vinegar for FrizzFree and Stronger Hair ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 0, 'Negative': 0, 'Neutral': 1}}"
73,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin,I have seen a change in my skin..it's glowing and clean..use it twice or thrice a day whenever I get time to wash my face. Started using it on my hair too..will definitely post how it's working,['Onion Seed Oil '],['Hair Oil' 'Hair Shampoo'],['onion' 'shampoo' 'hair' 'growth' 'hair' 'fall' 'control' 'onion' 'oil' 'plant' 'keratin'],"{'onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 2, 'Negative': 0, 'Neutral': 0}, 'growth': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fall': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'control': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'plant': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'keratin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Seed Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 1}}"
75,Tea Tree Shampoo for Dandruff Free Hair ,Very gentle fragrance. good product for little ones,['Tea Tree Oil ' 'Ginger Oil '],['Hair Shampoo'],['tea' 'tree' 'shampoo' 'dandruff' 'free' 'hair'],"{'tea': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'tree': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'dandruff': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'free': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Ginger Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Shampoo for Dandruff Free Hair ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 2, 'Negative': 0, 'Neutral': 0}}"
76,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin ,Awesome product â¤ï¸,['Onion Seed Oil '],['Hair Oil' 'Hair Shampoo'],['onion' 'shampoo' 'hair' 'growth' 'hair' 'fall' 'control' 'onion' 'oil' 'plant' 'keratin'],"{'onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'growth': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fall': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'control': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'plant': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'keratin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Seed Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
77,Onion Hair Mask For Hair Fall Control With Onion Oil and Organic Bamboo Vinegar,This toothpaste is really awesome. My daughter just loves using it. Best part is that it is made with 100% natural ingredients and toxin free. Overall very good product,['Onion Oil '],['Hair Oil'],['onion' 'hair' 'mask' 'hair' 'fall' 'control' 'onion' 'oil' 'organic' 'bamboo' 'vinegar'],"{'onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'mask': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'fall': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'control': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'organic': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'bamboo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Hair Mask For Hair Fall Control With Onion Oil and Organic Bamboo Vinegar': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 4, 'Negative': 0, 'Neutral': 0}}"
78,Tea Tree Conditioner with Tea Tree & Ginger Oil for Dandruff Free Hair,Mamaearth berry blast toothpaste...a big thumbs up...my son like it's taste ..it is made up of 100% natural ingredients and free from fluoride .as it is made up of natural ingredients and no harmful chemicals it safe if kid swallow it..it's a good toothpaste for kids...highly recommended,['Tea Tree Oil '],['Hair Oil'],['tea' 'tree' 'conditioner' 'tea' 'tree' 'ginger' 'oil' 'dandruff' 'free' 'hair'],"{'tea': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'tree': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'conditioner': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'ginger': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'dandruff': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'free': {'Positive': 1, 'Negative': 0, 'Neutral': 0}, 'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Tea Tree Conditioner with Tea Tree & Ginger Oil for Dandruff Free Hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
80,Hair Regrowth Combo : Onion Shampoo and Onion Conditioner,Berry flavoured blast that the kids just love! And the best part is that its perfectly fine if they swallow it too! Made with 100% safe ingredients this should be the toothpaste you should introduce your kids to!,['Onion Seed Oil '],['Hair Shampoo'],['hair' 'regrowth' 'combo' 'onion' 'shampoo' 'onion' 'conditioner'],"{'hair': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'regrowth': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'combo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'onion': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'conditioner': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Onion Seed Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Shampoo': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Hair Regrowth Combo : Onion Shampoo and Onion Conditioner': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 3, 'Negative': 0, 'Neutral': 0}}"
81,OilFree Face Moisturizer for AcneProne Skin,I m writing this review after few useges and I m absolutely in love with it ..it made my my hair look so volumeness and long which is not often in normal circumstances.frizzyness will be further reduced after few usages.so you need to be patient in that.it is a very safe products for you hair and scalp and you must own it..,['Apple Cider Vinegar ' 'Cetearyl Octanoate ' 'Betaine ' 'Fatty Acids '],['NA'],['oil' 'free' 'face' 'moisturizer' 'acne' 'prone' 'skin'],"{'oil': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'free': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'moisturizer': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'acne': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'prone': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Apple Cider Vinegar ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Cetearyl Octanoate ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Betaine ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Fatty Acids ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'OilFree Face Moisturizer for AcneProne Skin': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
82,Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ ,I love this roll on and It's a mist have for all moms. This helps in easy breathings especially when kids get troubled while they sleep. It's safe so I recommend to all. Easy to use and a wonderful product.,['Carrot Seed Oil '],['NA'],['ultra' 'light' 'indian' 'sunscreen' 'carrot' 'seed' 'turmeric' 'spf' '50' 'pa+++'],"{'ultra': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'light': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'indian': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'sunscreen': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'carrot': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'seed': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'turmeric': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'spf': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, '50': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'pa+++': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Carrot Seed Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'NA': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 4, 'Negative': 0, 'Neutral': 0}}"
85,Ubtan Face Wash for Tan Removal,I am using the all of products of mamaearth...lotion is verry good moisturizer and its smel so nyc...I m using this product my new born baby and also my 10 yrs old boy...too good,['Turmeric ' 'Walnut Beads ' 'Licorice Extract ' 'Carrot Oil '],['Face Wash'],['ubtan' 'face' 'wash' 'tan' 'removal'],"{'ubtan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'face': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'tan': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'removal': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Turmeric ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Walnut Beads ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Licorice Extract ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Carrot Oil ': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Face Wash': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, 'Ubtan Face Wash for Tan Removal': {'Positive': 0, 'Negative': 0, 'Neutral': 0}, ' ': {'Positive': 1, 'Negative': 0, 'Neutral': 0}}"
